story_id,acceptance_criterion,test_file,test_name
D2,"A clarification message is mandatory and must contain at least one non-whitespace character; an empty message is refused, no message is stored, and the event status is unchanged",services/event/tests/api/clarifications.test.ts,"refuses an empty message, storing nothing and leaving the status unchanged"
D2,"On sending, the event status changes to Awaiting Clarification and the requesting coordinator and timestamp are recorded",services/event/tests/api/clarifications.test.ts,"moves the event to Awaiting Clarification, recording who asked and when"
D2,"The message is stored against the event and is visible to the owning organiser and to Event Coordinators",services/event/tests/api/clarifications.test.ts,"lets the owning organiser see the outstanding clarification"
D2,"The message is not visible to users with no relationship to the event",services/event/tests/api/clarifications.test.ts,"gives an organiser who does not own the event no clarification content"
D2,"The organiser receives a notification identifying the event and the fact that clarification is required",services/event/tests/api/clarifications.test.ts,"notifies the organiser that clarification is required"
D2,"Multiple clarification messages on the same event are retained in order rather than overwriting each other",services/event/tests/api/clarifications.test.ts,"retains multiple clarifications in order rather than overwriting"
D2,"Only an Event Coordinator may request clarification (A2)",services/event/tests/api/clarifications.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D2,"Status may only change through a permitted transition (F1)",services/event/tests/api/clarifications.test.ts,"refuses a clarification on an event that is not under review (F1)"
D3,"The organiser can see any outstanding clarification message on their own event",services/event/tests/api/clarifications.test.ts,"lets the owning organiser see the outstanding clarification"
D3,"The organiser can reply with a message, amend the request fields, or both",services/event/tests/api/clarifications.test.ts,"accepts an amendment with no message"
D3,"A response with neither a message nor an amendment is refused and no timestamp is recorded",services/event/tests/api/clarifications.test.ts,"refuses a response with neither a message nor an amendment, recording no timestamp"
D3,"On response the event status returns to Under Review and the response timestamp is recorded",services/event/tests/api/clarifications.test.ts,"returns the event to Under Review and records the response time"
D3,"The values as originally submitted are retained in the event history alongside the amended values",services/event/tests/api/clarifications.test.ts,"retains the value as originally submitted alongside the amended value"
D3,"The coordinator who requested the clarification is notified that the organiser has responded",services/event/tests/api/clarifications.test.ts,"notifies the coordinator who asked for the clarification"
D3,"An organiser who does not own the event cannot view or answer the clarification",services/event/tests/api/clarifications.test.ts,"gives an organiser who does not own the event no clarification content"
D4,"Approve is available only when the event status is Under Review or Awaiting Clarification",services/event/tests/api/decisions.test.ts,"refuses to approve an event that has not been opened for review"
D4,"Approve is available when the event status is Under Review",services/event/tests/api/decisions.test.ts,"approves an event that is Under Review, recording the coordinator and the time"
D4,"Approve is available when the event status is Awaiting Clarification",services/event/tests/api/decisions.test.ts,"approves an event that is Awaiting Clarification"
D4,"On approval the status changes to Approved and the approving coordinator and approval timestamp are recorded",services/event/tests/api/decisions.test.ts,"approves an event that is Under Review, recording the coordinator and the time"
D4,"The approval outcome and its date are visible to the owning organiser",services/event/tests/api/decisions.test.ts,"shows the approval outcome and its date to the owning organiser"
D4,"The organiser receives a notification of the approval",services/event/tests/api/decisions.test.ts,"notifies the organiser of the approval"
D4,"Approval alone creates no venue booking and no equipment reservation",services/event/tests/api/decisions.test.ts,"creates no venue booking and no equipment reservation"
D4,"An event that already carries a recorded decision cannot be approved again and no second approval timestamp is written",services/event/tests/api/decisions.test.ts,"cannot approve an event that already carries a decision, writing no second timestamp"
D4,"A rejected event cannot subsequently be approved",services/event/tests/api/decisions.test.ts,"cannot approve an event that was already rejected"
D4,"The approval writes a status history entry like any other transition (F1)",services/event/tests/api/decisions.test.ts,"writes a history entry for the approval (F1)"
D4,"Only an Event Coordinator may approve (A2)",services/event/tests/api/decisions.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D4,"A double decision is refused at the repository level, writing no second decision timestamp",services/event/tests/repo/events.test.ts,"writes no second decision timestamp for an event already decided"
D5,"Rejection requires a reason of at least one non-whitespace character; without it the rejection is not performed, the status is unchanged, and no rejection timestamp is recorded",services/event/tests/api/decisions.test.ts,"refuses a rejection with no reason, changing nothing"
D5,"A reason of whitespace only is refused",services/event/tests/api/decisions.test.ts,"refuses a reason of whitespace only"
D5,"On rejection the status changes to Rejected and the reason, rejecting coordinator, and timestamp are recorded",services/event/tests/api/decisions.test.ts,"rejects an event with a reason, recording the coordinator and the time"
D5,"The reason is visible to the owning organiser",services/event/tests/api/decisions.test.ts,"shows the reason to the owning organiser"
D5,"The organiser receives a notification of the rejection",services/event/tests/api/decisions.test.ts,"notifies the organiser of the rejection, including the reason"
D5,"A rejected event cannot be edited or resubmitted; its fields become read-only",services/event/tests/api/decisions.test.ts,"makes a rejected event read-only: it cannot be resubmitted"
D5,"An event that already carries a decision cannot be rejected",services/event/tests/api/decisions.test.ts,"cannot reject an event that already carries a decision"
D5,"The rejection writes a status history entry like any other transition (F1)",services/event/tests/api/decisions.test.ts,"writes a history entry for the rejection (F1)"
D5,"Only an Event Coordinator may reject (A2)",services/event/tests/api/decisions.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D5,"The rejection reason is recorded with the decision",services/event/tests/repo/events.test.ts,"records a rejection with its reason"
D3,"The organiser can amend the request fields, including its venue requirements, with the originals retained in the history",services/event/tests/api/clarifications.test.ts,"lets the organiser amend the venue requirements, keeping the original in the history"
D5,"Without a reason the rejection is not performed, and the refusal is shown where the reason is entered",apps/web/tests/rejectDialog.test.tsx,"shows the refusal inside the rejection dialog"
