story_id,acceptance_criterion,test_file,test_name
A1,"A user with valid credentials is authenticated and a session is created that carries their role",backend/services/identity/tests/api/auth.test.ts,"returns the user and role on success, and records last-login"
A1,"An incorrect email or an incorrect password is rejected with the same message",backend/services/identity/tests/api/auth.test.ts,"gives the same message for a wrong email as for a wrong password"
A1,"A rejection caused by a deactivated account is distinguishable from a rejection caused by wrong credentials",backend/services/identity/tests/api/auth.test.ts,"distinguishes a deactivated account from bad credentials"
A1,"On a failed login attempt no session is created and no last-login timestamp is recorded",backend/services/identity/tests/api/auth.test.ts,"records no last-login timestamp on a failed attempt"
A1,"On successful login the last-login timestamp and the authenticated user are recorded",backend/services/identity/tests/repo/users.test.ts,"records the last-login timestamp on success"
A1,"Logging out ends the session; navigating back to a protected page afterwards does not display any event data",backend/services/identity/tests/api/auth.test.ts,"revokes the session and returns 204"
A2,"An attempt by a user whose role is not permitted is refused: the action does not execute and no record is created or modified",backend/services/event/tests/api/decisions.test.ts,"refuses a role that is not an Event Coordinator (A2)"
A2,"The refusal applies to a direct URL or API call, not only to hidden menu items",backend/services/event/tests/api/review.test.ts,"refuses a role that is not an Event Coordinator (A2)"
A3,"An Event Organiser's event list contains only events where that organiser is the recorded owner",backend/services/identity/tests/domain/accessScope.test.ts,"scopes an Organiser's events list to events they own (AC1)"
A3,"An Event Coordinator's list contains all events in the system, regardless of which coordinator is assigned",backend/services/identity/tests/domain/accessScope.test.ts,"gives a Coordinator every event, not filtered by assignment (AC2)"
A3,"Venue Staff see booking requests and confirmed bookings for their own venues",backend/services/identity/tests/domain/accessScope.test.ts,"scopes Venue Staff's venue bookings to their own venues (AC3)"
A3,"Technical Support Staff see equipment requests and reservations",backend/services/identity/tests/domain/accessScope.test.ts,"scopes Tech Support's equipment requests to what they handle (AC4)"
A3,"An Attendee sees only events with registration enabled that are open to them",backend/services/identity/tests/domain/accessScope.test.ts,"scopes an Attendee's events list to open-for-registration only (AC5)"
A3,"Filtering is applied when the list is retrieved, so a request for an event outside the user's relationship returns no event data at all",backend/services/identity/tests/api/accessScope.test.ts,"resolves an Organiser's events scope to their own events"
A3,"The scope rule is applied when the list is retrieved, so an event outside the caller's relationship returns no event data at all",backend/services/event/tests/api/review.test.ts,"gives a user outside the event's scope no event data (A3)"
A3,"An Event Organiser's event list contains only events where that organiser is the recorded owner, applied as a query-time filter",backend/services/event/tests/repo/events.test.ts,"gives an organiser no data at all for another organiser's event"
B1,"The request captures event name, purpose, description, proposed date, start and end time, expected attendance, venue requirements, accessibility needs, equipment requirements, and whether registration is required",backend/services/event/tests/api/review.test.ts,"shows the full submitted content, including requirements"
B1,"On a successful submission the request is stored with status Submitted, and the submitting organiser, submission timestamp, and a unique event reference are recorded",backend/services/event/tests/api/submission.test.ts,"stores the request as Submitted with a reference and a submission time"
B1,"The submitting organiser is recorded as the owner of the event",backend/services/event/tests/api/submission.test.ts,"records the submitting organiser as the owner of the event"
B1,"The submitted request appears in the Event Coordinator review queue",backend/services/event/tests/api/review.test.ts,"shows a submitted request with the details a coordinator triages on"
B1,"On submission the assigned coordinator (E1) is notified that a new event request is awaiting review",backend/services/event/tests/api/submission.test.ts,"raises the notification that a new request awaits review, in the same transaction"
B1,"If submission fails validation, no event record is created and no submission timestamp is recorded",backend/services/event/tests/api/submission.test.ts,"creates no event record at all when validation fails (B1, B2)"
B2,"Submission is blocked unless every mandatory field is populated",backend/services/event/tests/domain/validation.test.ts,"names every missing mandatory field, not only the first"
B2,"When submission is blocked, the message names every field that caused the rejection, not just the first one",backend/services/event/tests/api/submission.test.ts,"names every field that caused the rejection, not just the first (B2)"
B2,"The end date/time must be later than the start date/time; an equal or earlier end time is rejected and the message identifies this as the reason",backend/services/event/tests/domain/validation.test.ts,"rejects an end time equal to the start time, saying why"
B2,"The proposed start date/time must not be in the past at the moment of submission",backend/services/event/tests/domain/validation.test.ts,"rejects a start date and time in the past"
B2,"Expected attendance must be a whole number greater than zero",backend/services/event/tests/domain/validation.test.ts,"rejects an expected attendance of zero"
B2,"When registration is required, the opening and closing date/times are mandatory and the closing must be later than the opening",backend/services/event/tests/domain/validation.test.ts,"requires the closing to be later than the opening"
B2,"The registration closing must be no later than the event start",backend/services/event/tests/domain/validation.test.ts,"requires the closing to be no later than the event start"
B2,"An equipment-required flag is mandatory, and none-required counts as a complete equipment arrangement",backend/services/event/tests/domain/validation.test.ts,"accepts 'no equipment required' as a stated equipment flag"
B2,"A blocked submission creates no submission record and changes no other stored value",backend/services/event/tests/api/submission.test.ts,"creates no event record at all when validation fails (B1, B2)"
C1,"A request can be saved once the event name is present; every other field may be empty",backend/services/event/tests/repo/drafts.test.ts,"saves a draft with only a name, every other field empty"
C1,"The saved record has status Draft and stores the owning organiser and a last-saved timestamp",backend/services/event/tests/repo/drafts.test.ts,"records the owning organiser and a last-saved timestamp"
C1,"The submission validation rules in B2 are not applied on save",backend/services/event/tests/api/drafts.test.ts,"does not apply the submission rules on save"
C1,"Any date or time that is entered must be a valid date or time",backend/services/event/tests/api/drafts.test.ts,"refuses a date that is not a valid date, even on save"
C1,"A draft does not appear in the Event Coordinator review queue",backend/services/event/tests/api/review.test.ts,"never shows a draft in the queue"
C1,"A draft is not visible to any user other than its owner",backend/services/event/tests/api/drafts.test.ts,"gives an organiser who does not own the draft no draft content"
C2,"Opening one of my own drafts restores every previously saved field with the exact value that was saved",backend/services/event/tests/repo/drafts.test.ts,"restores every saved field with the exact value that was saved"
C2,"Saving an edited draft updates the last-saved timestamp and retains status Draft",backend/services/event/tests/api/drafts.test.ts,"keeps the draft a draft when it is edited and saved"
C2,"Submitting from a draft applies the full validation in B2",backend/services/event/tests/api/submission.test.ts,"applies the full B2 validation when submitting from a draft"
C2,"On success the status changes Draft to Submitted and the submission timestamp is recorded",backend/services/event/tests/api/submission.test.ts,"moves the draft to Submitted and records the submission time"
